Versioning,Question,Why / Details,Example / Notes,Priority,Possible answer
Authentication,What is the expected Authorization header format? Is it 'Authorization: Bearer <token>'?,OpenAPI securitySchemes declares an apiKey named 'JWT Authorization' — ambiguous and nonstandard.,Clarify header name and scheme; supply sample curl with header,High,
API Discovery,Who is the owner / point of contact for the API and where will updates be posted?,"Who to contact, where to look for documentations, new versions, breaking changes.",,High,
API Discovery & Versioning,Is there a canonical base URL and separate staging/sandbox endpoints?,"Required to configure CI, tests, and polling targets.",e.g. api-staging.example.com,High,
Arrays & Nested,"Which result fields are arrays/objects that must be JSON-encoded into a CSV cell (e.g., values, details)?",User requested arrays encoded - confirm which,,High,
Arrays & Nested,"Structure of 'values' array: names and types of elements (timestamp, value, type, quality?)?",Needed to choose columns or JSON cell,,High,
Authentication,What is token lifetime and refresh strategy? Can we get a permanent token with no expiry?,Affects caching and refresh logic,"e.g. access_token expires 15m, refresh_token 30d, Never expires",High,
Authentication,"Where is the Keycloak instance running (hostname, realm, client) and how to obtain client credentials? (client id / secret)",Needed to request JWTs and configure automated pulls,"e.g. auth.example.com, realm: vems, client_id: southeatern, client_secret: <secret>",High,
Authentication,"Are there audience/claim requirements in JWTs (scope, roles, issuer)?","If server validates specific claims, need to craft requests accordingly","Require 'aud': 'dms-api', scope: 'dms.read'",High,
Authentication,What grant types are allowed for machine-to-machine access?,Impacts implementation (client_credentials vs. auth code),Recommend client_credentials for service,High,
Authentication - Access,Which endpoints require elevated roles (dms_admin) vs standard (dms_user)?,Plan least-privilege service token,,High,
Change Tracking,Are there 'modified' or 'created' fields for results to incremental-pull instead of full snapshot?,Enables incremental sync,,High,
Consistency & Dupes,Can the same result be returned multiple times across different queries/polls?,Need dedupe logic (id + timestamp),,Med,
Contracts,Is there a formal API contract (machine-readable) delivered and maintained (OpenAPI hosted)?,Helps codegen and CI checks,,High,
CSV Columns,"If we hardcode CSV headers, confirm canonical column list per component_category (e.g., GuideTyre): which fields are required?","Can we hardcode headers, can we get canonical list",,High,
Data Quality,"Are there quality/flag fields in results (e.g. status, confidence) and allowed ranges?",Important for filtering/alerts,,High,
Data Volume,"How many images are taken for the measurements?","Typical total size of images taken per train pass (MBytes / GBytes)",,High,
Data Volume,Expected data rates per subsystem (results/sec),Typical payload size impacts storage and processing,,High,
Encoding,Character encoding for CSV and JSON (UTF-8 expected?),Avoid importing and encoding problems,,High,
Error Handling,"Are transient errors retryable, and which HTTP codes indicate retry vs fail if any?","Help to implement robust retry/backoff. Help to implement retry strategy that avoids hammering the API, handles transient failures, respects server signals, and prevents synchronized retry storms.","E.g. retry only on transient errors: 429, 502, 503, 504, timeout/network glitches. Do NOT retry 4xx client errors (400,401,403,404) except 429. if Retry-After header present, wait that long (seconds or HTTP-date). ",High,
Events / Alerts,Are alerts delivered to /alerts endpoint or are those POST-only for ingestion?,OpenAPI shows /alerts POST - need direction/usage. Is there a GET endpoint?,,High,
Events / Alerts,"Define 'events', 'alerts', 'notifications': semantics, relationships, lifecycle, retention?",We need to map these with our business logic and business events / alerts / notifications,,High,
Events / Alerts,Do alerts reference result ids or pass ids? Field mapping required.,To correlate alerts with measurements,,High,
Examples,Provide full example payloads for /results/timeseries/search request and response including values/details arrays that are not there in the spec already,We need exact JSON / CVS to validate client,,High,
Field Types,"Exact types and nullable behavior for each top-level 'result' field (string,int,float,bool,array)",Needed for CSV typing and nullable handling,,High,
IDs & Keys,Are ids stable unique ids across time (id vs component_id vs pass_pass_id)?,To use as primary keys when merging datasets,,High,
Pagination,What semantics for limit/offset vs cursor? Are there max limits and defaults?,OpenAPI mentions limit/offset but no defaults/max,,High,
Rate Limits,"Are there any API rate limits, soft/hard quotas, or burst rules?",Important for scheduler/backoff and retries,,High,
Response Shape,For 'results' items: confirm full set of top-level keys (id/component_id/component_category/values/details/etc.),Needed to flatten to CSV columns,,High,
Response Shape,Canonical example response for /results/timeseries/search (full schema + types)?,We have examples but need authoritative sample for all fields,,High,
Retention,How long are results and alerts retained on the DMS? Can retention be configured per-site?,Storage planning and re-pull window,,High,
Schema Completeness,Some OpenAPI 'content' objects are elided (�) � provide full schemas or examples for those endpoints?,Many endpoints lack inline examples,,High,
Schemas Missing,Many schema fragments are '�' �  request complete component schemas for result DTOs,Needed for code-gen,,High,
Search DSL / semantics,"Are term searches case sensitive? Are string matches exact, wildcarded or tokenized?",Affects filter design and expected results,e.g. 'GuideTyre' vs 'guidetyre',High,
Search DSL / semantics,What are valid field names for component_queries and is it strictly arrays of strings or objects allowed?,We need to build query builder to match expected input,"Example: component_queries: { component_category: [""GuideTyre""] }",High,
Search DSL / semantics,Provide full grammar/semantics for SearchFilterDTO (and meaning of and/or/not/is_null/contains/range/term). Which operators are supported per-field?,Search DSL is underspecified in docs; needed for correct queries,Examples for nested fields and arrays,High,
Search semantics,What's the maximum for 'limit'? OpenAPI mentions 500?,Avoid accidental large / invalid requests,,High,
Search semantics,"Exact semantics for 'query': supported operators (term, range, and/or/not, contains, is_null)?",OpenAPI lists many but behavior needs examples,,High,
Search semantics,What fields are searchable in timeseries/search and which are indexed for range vs term?,Important to craft performant queries,,High,
Security,Are tokens scoped to site/subsystem (multi-tenant) or global? Explain scoping model.,Impacts how token is restricted and which data it can access.,e.g. scope=site:123:results.read,High,
Support,Contact and SLA for API issues and request for schema fixes/clarifications?,Vendor support?  Point of contacts?,,High,
Testing & Sandbox,Do you provide a sandbox or test credentials and sample dataset for integration tests?,We currently have no access - need to plan integration,,High,
Throttled Fields,"Which fields are expensive on server side (total=true, deep nested includes)? Mark them to avoid frequent calls.",Performance,,High,
Timestamps,Are timestamps milliseconds since epoch (UTC) and is timezone consistent?,OpenAPI uses milliseconds but confirm and request timezone policy,,High,Just need confirmation / further clarification of what is stated in the spec
User Roles,Define exact capabilities for dms_user/dms_admin (list of allowed endpoints/actions),Necessary for automation token roles,,High,
Access Control,Can tokens be restricted to site/subsystem scope or only role-based?,Least privilege tokens may be site-scoped,,Med,
API Discovery,Is there an API versioning policy? How new versions and  how possible breaking changes are communicated?,"Detect breaking changes,  make sure our poller doesn�t silently break.",,Med,
API Discovery & Versioning,How are breaking changes and OpenAPI updates communicated? Is there versioning in the URL or header?,Planning for upgrades and compatibility tests.,e.g. /v1/,Medium,
Atomicity,Is export atomic (consistent snapshot) for large queries or can results change during export?,Affects data consistency,,Med,
Attachments & Files,"How are images/profiles referenced (paths, presigned URLs, auth needed)? Can we have file access? If yes how? Auth method?",/files endpoints exist - need access method,,Med,
Other access,"Is there any other access to the data, other than API",,"E.g. direct databasa access, providing database views (read-only)",,Med
Audit,Does the API record access logs with token info and can we retrieve logs for troubleshooting?,Helps debugging and compliance,,Med,
Backfilling,"For historical imports, can we request arbitrary time ranges or are there archive constraints?",Data migration planning,,Med,
Binary / Files,Are file downloads protected by same JWT and are tokens required per-download?,Affects file fetch logic,,Med,
Change Notifications,Is there a way to subscribe to schema changes or a changelog for OpenAPI updates?,Prevent silent breakages,,Med,
CSV Export,"Is there a recommended canonical CSV export schema (server-side / results/export)?,/results/export/search exists - need sample headers",Need specification of the returned CSV formats and / or concrete examples,,Med,
Data Volume,Max payload size per response (bytes) and any streaming alternative?,Large arrays may be truncated,,Med,
Export / CSV,"Does /results/export/search produce server-side CSV with exact columns? If so, what are headers?",Might save client-side processing,,Med,
Field Mapping,Are there stable set of keys present in results or can they vary per component type?,"If variable, CSV must be tolerant",,Med,
Field Mapping,"For component-specific parameters (e.g., GuideTyre specific keys) is there a features->schema mapping?",Needed to pre-define CSV columns per component_category,,Med,
IDs & Keys,Are component_id and pass_pass_id globally unique or namespaced per site/subsystem?,Affects dedupe strategy,,Med,
IP Allowlisting,"Is IP allowlisting used for production access? If so, provide ranges.",Deployment networking,,Med,
Monitoring,"Are there monitoring / health endpoints and metrics we can scrape? (uptime, status, queue lengths)",Operational visibility,,Med,
Nulls & Missing,How are missing fields represented (absent vs null vs empty)?,CSV needs consistent empty cell rules,,Med,
Pagination,"Does 'total' require an extra expensive query, is it accurate in large datasets?",Affects performance; may need separate call,,Med,
Rate Limits,Do they provide per-token or per-IP limits and returned headers for remaining allowance?,Enables adaptive throttling,,Med,
Rate of Change,Do 'values' arrays represent time series ordered by timestamp and guaranteed monotonic?,CSV flattening depends on order,,Med,
Search semantics,Are component_queries always arrays of strings or can they include objects/ids?,Clarify structure of component_queries,,Med,
Security,"Are there required additional headers (Tenant-ID, Site-ID, X-Request-ID, or custom trace headers)?",Missing headers cause requests to fail or be routed incorrectly.,Example X-Tenant-ID: site_abc,Medium,
Security Headers,"Any required headers beyond Authorization (e.g., Tenant-ID, X-Request-ID)?",Needed for routing/multitenancy and tracing,,Med,
Sorting,Sort semantics: how to specify nested field sorts and stable sort behavior?,Use to page results safely,,Med,
Throttling Policy,Does throttling apply to bulk export endpoints differently?,Large exports might be treated specially,,Med,
Timestamps,Should saved filenames/timestamps use UTC or local timezone?,Consistency for cross-system correlation,,Med,
Time-window queries,Does range filtering on pass_online_timestamp use inclusive/exclusive bounds? Confirm semantics.,Edge cases near boundary timestamps,,Med,
TLS,Minimum TLS version and cipher policy required by server?,Security and client compatibility,,Med,
Versioning,What's the versioning policy? URL versioning or header? How to track breaking changes?,Important for upgrade planning,,Med,
Webhooks / Push,Is there any push capability (webhook/stream) instead of polling?,Prefer push for low-latency,,Med,
Authentication,Is mutual TLS required for API endpoints or only Bearer JWT?,Affects TLS client setup and security,,Low,
Base URL / Env,"What is the canonical base URL, and are there staging/test endpoints?",Need target URL(s) for polling and testing,,Low,
Base URL / Env,Are there CORS or firewall rules affecting remote agents?,Needed for browser-based UIs or hosted apps,,Low,
Base URL / Env,"Is there an API gateway, load balancer or host header requirement?",May affect routing and headers,,Low,
Client Limits,Is max number of sort fields / filter clauses limited (OpenAPI mentions max 5 sort fields)?,Enforce request builder limits,,Low,
Compression,Is the API capable of gzip/deflate responses and do they respect Accept-Encoding?,Performance optimisation,,Low,
Concurrent Access,Can multiple clients concurrently write/export results? are there locks or transactions?,Concurrency handling for downloads,,Low,
Content-Type,Accept / Content-Type requirements and supported encodings (gzip)?,Enable compressed responses to save bandwidth,,Low,
Maintenance,Are there scheduled maintenance windows and notification channels or endpoint for status for any external system e.g. Keycloak that can affect us?,Avoid pulls during downtime,,Low,
Acceptance & sample data,Provide canonical example payloads for key endpoints (results timeseries search full response including values/details) in the docs.,We need authoritative examples for testing and CSV mapping,,High,
Arrays & nested (details),"Define structure of 'details' object (possible keys like threshold_value/comparison_operator), and which keys are guaranteed to exist.",Needed to extract classification info and CSV columns,,Med,
Arrays & nested (values),"Define structure of 'values' array (fields, timestamp units, value types, quality flags). Example elements expected.",Needed to decide whether to flatten array columns or encode JSON cell,,Low,
Atomicity,"Is /results/export/search an atomic snapshot? If not, how to guarantee consistency for large exports?",Ensures exported CSV is consistent,,High,
Authentication,Is mutual TLS (mTLS) required in addition to JWT? If so how to provision client certs?,Alters client HTTPS configuration and deployment complexity,,Med,
Backoff guidance,Provide recommended backoff/ retry headers or guidelines when API returns 429 or 5xx.,Prevents overwhelming the system under load,,Low,
Batching strategy,"For heavy datasets, recommend best practice for batching queries (time-window sizes, offset/limit usage) — do you have guidance?",Optimize pull performance,,High,
Change notifications,"Is there a channel to be notified for API changes or release notes (email list, webhook)?",Prevents silent breakages,,Med,
Character encoding,"Confirm JSON and CSV are UTF-8. Any special handling for CSV (delimiter, quoting, newline)?",Avoid import issues in Excel,,Low,
Classification & flags,Explain classification types and when result.classification is present and what details are included.,"e.g. classification_type: 'Alarm', details.threshold_value",,High,
Client rate-limiting,Will Siemens issue different rate limits for integration partners vs local site clients?,Allows us to plan pulling cadence,,Med,
Content negotiation,Does API support gzip/deflate responses and do we need to set Accept-Encoding? Are responses compressed for large exports?,Compression reduces bandwidth for heavy pulls,,Low,
Contracts & codegen,Can Siemens provide a machine-readable OpenAPI without elisions and with examples so we can auto-generate client models and validations?,Facilitates client SDK generation and reduces mistakes,,High,
CSV export edge cases,"If some fields contain commas/newlines (e.g. details text), confirm CSV quoting rules and field escaping policy.",Ensures Excel imports correctly,,Med,
CSV mapping,"Provide canonical column list per component_category for CSV export (fields to persist per result). If not available, give recommended default per GuideTyre.",User wants hardcoded headers; confirm list,,Low,
CSV specifics,"If we hardcode CSV headers as requested, which exact columns are mandatory vs optional per component_category? Provide authoritative list.",Needed to implement deterministic CSV writer,,High,
CSV specifics,For array fields (values/details) confirm encoding policy: JSON-encode entire array into single CSV cell and which fields must be encoded.,User asked arrays as JSON cell — confirm,,Med,
Data ownership & tenancy,Is data partitioned by organisation/site and how is multi-tenancy expressed in the API?,Data segregation & tenancy model,,Low,
Deduplication strategy,Which fields form a natural unique key for a result row (id or id + pass_online_timestamp)? Recommend primary key.,Used for dedupe when ingesting into our system,,High,
Duplication & ordering,Are results returned ordered by pass_online_timestamp when sort is used and are values arrays ordered by timestamp?,Assures CSV rows order and monotonicity,,Med,
Endpoints behavior,Which endpoints are intended for search-only vs create/update vs push? There are many POST search endpoints — are POST used because payloads are complex?,Helps design idempotent poller and understand semantics of POST (safe vs unsafe),,Low,
Endpoints behavior,Are there any GET-based search alternatives (for simpler polling) or is POST /search the only supported way to query results?,POST search complicates caching and may be treated differently by intermediaries,,High,
Error schema,Provide canonical error body schemas and examples for 4xx and 5xx (GenericErrorDTO vs ProblemDetails). Is HTTP 429 used for rate limiting?,Needed to implement robust retry and error handling,,Med,
Events vs Alerts vs Notifications,"Which data fields link alerts/events/notifications to results (id mapping), e.g. entity_id or pass ids? How to correlate?",Essential to join alerts to measurements,,Low,
Events vs Alerts vs Notifications,"Define differences and lifecycle: 'events', 'alerts', 'notifications'. Which endpoints create vs consume vs query each?",Docs show /alerts and /events and /notification_history — semantics unclear,,High,
Example ambiguity,In the OpenAPI examples there are backtick fenced JSON fragments in descriptions (markdown) — confirm those are not literal content expected in the request body.,We previously found code-fence artifacts in JSON files,,Med,
Export endpoints,The export endpoint requires 'subsystem_type' parameter — is it required and what are allowed values?,Docs show required parameter; need allowed enum values,,Low,
Export endpoints,/results/export/search returns CSV server-side — what are exact headers and character encoding? Is authentication required for the export copy?,If server CSV provides exact header list we should use it instead of client-side flattening,,High,
Field units / types,"Document units for numeric fields (e.g., pass_avg_speed unit: km/h?). Which fields are floats vs ints vs strings?",Needed for data normalization and CSV column types,,Med,
File retention & lifecycle,How long are files and exported CSVs retained? Are there deletion policies?,Storage management and archival,,Low,
Files / attachments,Are large files (images/profiles) chunked or returned with Content-Length? Are Accept-Ranges supported?,Helps for resume/large downloads and network planning,,High,
Files / attachments,/files/{file_type}/{file_id} download semantics: do those require the same JWT? Are downloads time-limited presigned URLs or proxied through API?,Affects how we implement file fetching and storage,,Med,
IDs semantics,"Are 'id', 'component_id', and 'pass_pass_id' globally unique and stable across reimports? Which should be primary key for dedupe?",Important to dedupe appended CSV rows,,Low,
Incremental backfill,"Is there a recommended approach for backfilling historic data (rate limits, large time windows)? Any archive endpoints?",Data migration planning,,High,
Incremental sync,Is there a created/modified timestamp or sequence number to support incremental pulls (instead of full re-query)? Which field to use?,Reduces volume and simplifies sync,,Med,
Logging & audit,Does the DMS provide traceability/audit logs for API access and can we request logs for troubleshooting?,Needed for incident analysis,,Low,
Monitoring & health,Is there a health/metrics endpoint (Prometheus metrics or /health) we can poll to monitor availability?,Operational monitoring,,High,
Nulls & missing fields,How are missing optional fields represented (absent vs null vs empty string)? How should CSV map them?,Ensures consistent CSV output handling,,Med,
OpenAPI completeness,"Many content/schema blocks in openapi.json are ellipses (""…""). Can you provide the complete machine-readable OpenAPI spec including all schema details and examples?",We need full schemas for code-gen and mapping to CSV fields,,Low,
OpenAPI correctness,securitySchemes uses type=apiKey named 'JWT Authorization' — is this intentional? Should use http bearer scheme.,This affects client generator behaviour and UI docs. Precedent: use type: http scheme: bearer bearerFormat: JWT,,High,
Operational constraints,"Are there IP allowlisting requirements, firewall rules or VPN access needed to access the DMS? Provide network details.",We must ensure connectivity from our environment,,Med,
Pagination semantics,Does the meta.total reflect the total count across the full dataset or the request-scoped total? Is total expensive to compute?,Important for planning queries (avoid total=true if expensive),,Low,
Pagination semantics,"Are offsets stable when data changes (e.g., new results inserted) or do you supply stable cursors? Any cursor-based pagination available?",Offset pagination can result in duplicates/misses for incremental pulls,,High,
Performance / large results,"What is max response size (bytes) and recommended strategy for very large results (chunked streaming, export endpoint)?",We may need to use export endpoint or stream,,Med,
Rate limits,Are rate limits enforced per-token or per-IP? Provide header names for remaining/quota/reset.,For backoff and scheduler,,Low,
Rate-of-change flags,"Are there 'status', 'confidence', or quality flags for measurements? Provide possible values and semantics.",Important to filter poor-quality data,,High,
Response shape,Provide authoritative example response for /results/timeseries/search including full 'results' item schema for GuideTyre and nested values/details.,We need exact keys to flatten to CSV and create typed columns,,Med,
Response shape,"Which top-level keys in each result are scalar and which are complex? Which must be encoded as JSON cells in CSV (e.g., values, details)?",User requested CSV flattening; need canonical list per component category,,Low,
Result fields variability,Do result objects have a fixed schema per component_category (GuideTyre vs Wheel) or can top-level keys vary arbitrarily?,Determines CSV header strategy (hardcoded vs dynamic),,High,
Result uniqueness,"Can the same result id reappear across different queries (reprocessed/updated)? If results can be updated, provide last_modified or version field.",If updates occur we need upsert logic instead of append-only,,Med,
Retention & GDPR,Are there any PII/retention/GDPR considerations for measurement payloads?,Compliance requirements,,Low,
Retry policy,"Which HTTP error codes are transient and safe to retry, and recommended backoff strategy?","e.g. 429, 502, 503, 504 - require exponential backoff",,High,
Roles & RBAC,"List exact capabilities per role (dms_user, dms_admin). Which endpoints or methods are restricted to admin?",Security & least privilege planning,,Med,
Sample JWT,Provide a non-sensitive sample JWT (not a real key) that decodes to show claims for expected tokens so we can mock verification.,Allows offline dev and unit tests,,Low,
Schema changes,How frequent is the schema for results modified? Any changelog or schema registry? Any backward-compatible rules?,Helps automation and data contract enforcement,,High,
Schema consistency,"There are mixed naming conventions (snake_case, camelCase, @Definition.*). Which canonical naming convention should clients use?",Prevents query mismatches,,Med,
Search DSL / semantics,How to express nested path names in queries (dot notation vs underscore vs @Definition.k)? The docs reference multiple styles.,Inconsistent examples: '@Definition.component_category' vs 'component_category' vs 'details_threshold_value',,Low,
Search DSL / semantics,What is the maximum allowed 'limit' and do larger values impact server performance? Is 500 enforced server-side?,Docs mention default max 500 — confirm hard limit and error codes,,High,
Search rate/Cost,Does total=true cause an expensive server-side count? Should we avoid total for frequent polling?,"If expensive, we will not set total in normal polls",,Med,
Security,"Does the API perform role checks via claim names (e.g., roles in 'realm_access') and which role strings are used?",We must include correct roles or group membership for endpoint access,,Low,
SLA for schema fixes,"If we find schema bugs, how quickly will Siemens supply corrected OpenAPI and patched API?",Project timeline and risk mitigation,,High,
Sorting semantics,Sort fields mention 'max 5 fields' — confirm behaviour for nested fields and stability of sort for pagination.,"To perform deterministic paging, sort must be stable. e.g., '-pass_online_timestamp'",,Med,
Streaming & webhooks,"Is there a push alternative (webhooks, message queue, streaming API like SSE or MQTT) for near-real-time notifications?",Polling is inefficient for low-latency use cases,,Low,
Support & SLA,Who is the Siemens support contact and SLA for outages/bugs? Any escalation matrix for API defects?,Project management and planning,,High,
Test accounts & permissions,Provide test accounts with dms_user and dms_admin roles and sample tokens so we can validate permissions.,Necessary for role-matrix testing,,High,
Testing & sandbox,"Provide sandbox URL, test data, sample JWTs and test client credentials for integration testing.",We currently have no access — must test in isolation,,Low,
Testing data volume,Provide typical payload sizes for /results/timeseries/search responses (bytes and number of elements) for normal and peak loads.,Helps sizing storage and network,,High,
Testing harness,"Do you provide Postman/Newman collections, or sample curl examples for all endpoints including authentication flows?",Speeds our integration testing,,Med,
Time format & timezone,"If timezone is not UTC, provide server timezone or ISO timestamp formats and DST behavior.",,,Low,
TLS & ciphers,What TLS minimum version/cipher requirements are enforced? Do we need to support TLS1.3 only?,Cert and client compatibility planning,,Med,
User roles & tenants,Are roles tenant-specific (per site) or global? Should service tokens be scoped per-site?,Affects token scoping and access control,,Low,
Webhook security,"If webhooks exist, what signing/verification method is used (HMAC, JWT)?",Ensure webhook source authenticity,,Low,
